drink_name,ingredient,measurement,unit
Bijou,Sweet Vermouth,1.0,oz
Bleeding Surgeon,Dark rum,1.0,shot
Bleeding Surgeon,Orange,1.0,
Bleeding Surgeon,Surge,0.5,glass
Bleeding Surgeon,Cranberry juice,0.5,glass
Mississippi Planters Punch,Brandy,1.0,oz
Mississippi Planters Punch,Light rum,0.5,oz
Mississippi Planters Punch,Bourbon,0.5,oz
Mississippi Planters Punch,Lemon,0.5,
Mississippi Planters Punch,Powdered sugar,1.0,
Mississippi Planters Punch,Carbonated water,nan,N/A
Ruby Tuesday,Gin,2.0,oz
Ruby Tuesday,Cranberry juice,5.0,oz
Ruby Tuesday,Grenadine,2.0,
Rum Old-fashioned,Light rum,5.5,oz
Rum Old-fashioned,151 proof rum,1.0,
Rum Old-fashioned,Powdered sugar,0.5,
Rum Old-fashioned,Bitters,1.0,dash
Rum Old-fashioned,Water,1.0,
Rum Old-fashioned,Lime peel,N/A,N/A
Kiwi Papaya Smoothie,Kiwi,3.0,
Kiwi Papaya Smoothie,Papaya,0.5,
Adam Sunrise,Vodka,0.5,
Adam Sunrise,Lemonade,0.5,can
Adam Sunrise,Water,0.5,
Adam Sunrise,Sugar,10.0,
Vermouth Cassis,Dry Vermouth,5.5,oz
Vermouth Cassis,Creme de Cassis,0.75,oz
Vermouth Cassis,Carbonated water,nan,N/A
Whiskey Sour,Blended whiskey,2.0,oz
Whiskey Sour,Lemon,0.5,
Whiskey Sour,Powdered sugar,0.5,
Whiskey Sour,Cherry,1.0,
Whiskey Sour,Lemon,0.5,
Hawaiian Cocktail,Gin,2.0,oz
Hawaiian Cocktail,Triple sec,0.5,oz
Hawaiian Cocktail,Pineapple juice,1.0,
Queen Charlotte,Red wine,2.0,oz
Queen Charlotte,Grenadine,1.0,oz
Queen Charlotte,Lemon-lime soda,nan,N/A
Caribbean Boilermaker,Corona,1.0,bottle
Caribbean Boilermaker,Light rum,1.0,shot
Apple Berry Smoothie,Berries,1.0,cup
Apple Berry Smoothie,Apple,2.0,
Applejack,Jack Daniels,1.0,oz
Applejack,Midori melon liqueur,0.5,oz
Applejack,Sour mix,2.0,oz
Golden dream,Galliano,2.0,
Golden dream,Triple Sec,2.0,
Golden dream,orange juice,2.0,
Golden dream,Cream,1.0,
Pegu Club,Gin,5.5,oz
Pegu Club,Orange Curacao,0.75,oz
Pegu Club,Lime Juice,0.75,oz
Pegu Club,Angostura Bitters,1.0,dash
Pegu Club,Orange Bitters,1.0,dash
Jitterbug,Gin,2.0,jiggers
Jitterbug,Vodka,1.0,jigger
Jitterbug,Grenadine,3.0,dashes
Jitterbug,Lime juice,1.0,shot
Jitterbug,Sugar,1.0,pinch
Jitterbug,Sugar syrup,3.0,dashes
Jitterbug,Soda water,N/A,N/A
Karsk,Coffee,1.0,
Karsk,Grain alcohol,2.0,
Blue Hurricane,Rum,4.0,
Blue Hurricane,Dark Rum,2.0,
Blue Hurricane,Passoa,1.0,
Blue Hurricane,Blue Curacao,1.0,
Blue Hurricane,Sweet and Sour,6.0,
Blue Hurricane,Ice,N/A,N/A
Grasshopper,Green Creme de Menthe,0.75,oz
Grasshopper,Creme de Cacao,0.75,oz
Grasshopper,Light cream,0.75,oz
Amaretto Stone Sour #3,Sour mix,2.0,oz
Amaretto Stone Sour #3,Amaretto,2.0,oz
Amaretto Stone Sour #3,Tequila,2.0,oz
Amaretto Stone Sour #3,Orange juice,N/A,N/A
Midnight Manx,Kahlua,1.0,oz
Midnight Manx,Bailey's irish cream,1.0,oz
Midnight Manx,Goldschlager,N/A,N/A
Midnight Manx,Heavy cream,2.0,oz
Midnight Manx,Coffee,2.0,oz
3 Wise Men,Jack Daniels,0.3333333333333333,oz
3 Wise Men,Johnnie Walker,0.3333333333333333,oz
3 Wise Men,Jim Beam,0.3333333333333333,oz
Orange Oasis,Cherry brandy,0.5,oz
Orange Oasis,Gin,5.5,oz
Orange Oasis,Orange juice,4.0,oz
Orange Oasis,Ginger ale,nan,N/A
Banana Cantaloupe Smoothie,Cantaloupe,0.5,
Banana Cantaloupe Smoothie,Banana,1.0,
Bora Bora,Pineapple juice,10.0,
Bora Bora,Passion fruit juice,6.0,
Bora Bora,Lemon juice,1.0,
Bora Bora,Grenadine,1.0,
Affair,Strawberry schnapps,2.0,oz
Affair,Orange juice,2.0,oz
Affair,Cranberry juice,2.0,oz
Affair,Club soda,nan,N/A
Fahrenheit 5000,Firewater,0.5,oz
Fahrenheit 5000,Absolut Peppar,0.5,oz
Fahrenheit 5000,Tabasco sauce,1.0,dash
Stinger,Brandy,5.5,oz
Stinger,White Creme de Menthe,0.5,oz
Zima Blaster,Zima,12.0,oz
Zima Blaster,Chambord raspberry liqueur,3.0,oz
Kamikaze,Vodka,1.0,oz
Kamikaze,Triple sec,1.0,oz
Kamikaze,Lime juice,1.0,oz
Orange Whip,Orange juice,4.0,oz
Orange Whip,Rum,1.0,oz
Orange Whip,Vodka,1.0,oz
Orange Whip,Cream,1.0,
Orange Whip,Ice,N/A,N/A
Sea breeze,Vodka,5.5,oz
Sea breeze,Cranberry juice,4.0,oz
Sea breeze,Grapefruit juice,1.0,oz
Whisky Mac,Scotch,5.5,oz
Whisky Mac,Wine,1.0,oz
Gin And Tonic,Gin,2.0,oz
Gin And Tonic,Tonic water,5.0,oz
Gin And Tonic,Lime,1.0,
Planter's Punch,Dark rum,1.0,
Planter's Punch,Orgeat syrup,0.5,
Planter's Punch,Orange juice,2.0,
Planter's Punch,Pineapple juice,1.0,
Black and Brown,Guinness stout,0.5,
Black and Brown,Root beer,0.5,
English Highball,Brandy,0.75,oz
English Highball,Gin,0.75,oz
English Highball,Sweet Vermouth,0.75,oz
English Highball,Carbonated water,N/A,N/A
Kool First Aid,151 proof rum,2.0,oz
Kool First Aid,Kool-Aid,0.5,
John Collins,Bourbon,2.0,oz
John Collins,Lemon juice,1.0,oz
John Collins,Sugar,1.0,
John Collins,Club soda,3.0,oz
John Collins,Maraschino cherry,1.0,
John Collins,Orange,1.0,
Hemingway Special,Rum,12.0,
Hemingway Special,Grapefruit Juice,8.0,
Hemingway Special,Maraschino Liqueur,3.0,
Hemingway Special,Lime Juice,3.0,
Scottish Highland Liqueur,Johnnie Walker,1.0,
Scottish Highland Liqueur,Honey,5.5,cup
Scottish Highland Liqueur,Angelica root,2.0,
Scottish Highland Liqueur,Fennel seeds,0.25,
Scottish Highland Liqueur,Lemon peel,22.0,inch
Caipirissima,Lime,2.0,
Caipirissima,Sugar,2.0,
Caipirissima,White rum,2.0,-3 oz
Caipirissima,Ice,N/A,N/A
Kentucky Colonel,Bourbon,3.0,oz
Kentucky Colonel,Benedictine,0.5,oz
Kentucky Colonel,Lemon peel,1.0,
Green Goblin,Cider,0.5,pint
Green Goblin,Lager,0.5,pint
Green Goblin,Blue Curacao,1.0,shot
Arthur Tompkins,Gin,2.0,oz
Arthur Tompkins,Grand Marnier,0.5,oz
Arthur Tompkins,Lemon juice,2.0,
Arthur Tompkins,Lemon peel,1.0,
London Town,Gin,5.5,oz
London Town,Maraschino liqueur,0.5,oz
London Town,Orange bitters,2.0,dashes
Grizzly Bear,Amaretto,1.0,
Grizzly Bear,Jägermeister,1.0,
Grizzly Bear,Kahlua,1.0,
Grizzly Bear,Milk,10.5,
Bailey's Dream Shake,Bailey's irish cream,2.0,oz
Bailey's Dream Shake,Vanilla ice-cream,2.0,
Bailey's Dream Shake,Cream,nan,N/A
Penicillin,Blended Scotch,2.0,oz
Penicillin,Lemon Juice,0.75,oz
Penicillin,Honey syrup,2.0,
Penicillin,Ginger Syrup,2.0,
Penicillin,Islay single malt Scotch,0.25,oz
Alfie Cocktail,Lemon vodka,5.5,oz
Alfie Cocktail,Triple sec,1.0,dash
Alfie Cocktail,Pineapple juice,1.0,
Brainteaser,Sambuca,30.0,
Brainteaser,Erin Cream,30.0,
Brainteaser,Advocaat,5.0,
Turkeyball,Wild Turkey,1.0,oz
Turkeyball,Amaretto,0.75,oz
Turkeyball,Pineapple juice,1.0,
Vodka Fizz,Vodka,2.0,oz
Vodka Fizz,Half-and-half,2.0,oz
Vodka Fizz,Limeade,2.0,oz
Vodka Fizz,Ice,N/A,N/A
Egg Cream,Chocolate syrup,2.0,
Egg Cream,Milk,6.0,oz
Egg Cream,Soda water,6.0,oz
Pisco Sour,Pisco,2.0,oz
Pisco Sour,Lemon juice,1.0,oz
Pisco Sour,Sugar,1.0,
Pisco Sour,Ice,nan,N/A
French Negroni,Gin,1.0,oz
French Negroni,Lillet,1.0,oz
French Negroni,Sweet Vermouth,1.0,oz
French Negroni,Orange Peel,1.0,
Shanghai Cocktail,Light rum,1.0,oz Jamaican
Shanghai Cocktail,Anisette,1.0,
Shanghai Cocktail,Grenadine,0.5,
Shanghai Cocktail,Lemon,0.25,
Zinger,Peachtree schnapps,4.0,shots
Zinger,Surge,4.0,shots
Arizona Twister,Vodka,1.0,shot
Arizona Twister,Malibu rum,1.0,shot
Arizona Twister,Gold tequila,1.0,shot
Arizona Twister,Orange juice,1.0,
Arizona Twister,Pineapple juice,1.0,
Arizona Twister,Cream of coconut,1.0,
Arizona Twister,Grenadine,1.0,dash
Arizona Twister,Ice,N/A,N/A
Arizona Twister,Pineapple,1.0,
Brandon and Will's Coke Float,Vanilla ice-cream,2.0,
Brandon and Will's Coke Float,Coca-Cola,1.0,can
Brandon and Will's Coke Float,Bourbon,2.0,oz
Black Forest Shake,Ice,N/A,N/A
Black Forest Shake,Chocolate syrup,N/A,N/A
Black Forest Shake,Vodka,N/A,N/A
Pineapple Gingerale Smoothie,Ginger,0.25,inch
Pineapple Gingerale Smoothie,Pineapple,0.5,
Tia-Maria,Water,1.0,cup
Tia-Maria,Brown sugar,0.75,-1 cup
Tia-Maria,Coffee,4.0,
Tia-Maria,Rum,1.0,cup
Tia-Maria,Vanilla extract,4.0,
Gin Daisy,Gin,2.0,oz
Gin Daisy,Lemon juice,1.0,oz
Gin Daisy,Sugar,0.5,
Gin Daisy,Grenadine,0.5,
Gin Daisy,Maraschino cherry,1.0,
Gin Daisy,Orange,1.0,
ABC,Amaretto,0.3333333333333333,
ABC,Bailey's irish cream,0.3333333333333333,
ABC,Cognac,0.3333333333333333,
Zimadori Zinger,Midori melon liqueur,1.5,oz
Zimadori Zinger,Zima,12.0,oz
Bible Belt,Southern Comfort,2.0,oz
Bible Belt,Triple sec,0.5,oz
Bible Belt,Lime,2.0,
Bible Belt,Sour mix,2.0,oz
Black Russian,Coffee liqueur,0.75,oz
Black Russian,Vodka,5.5,oz
After Supper Cocktail,Triple sec,1.0,oz
After Supper Cocktail,Apricot brandy,1.0,oz
After Supper Cocktail,Lemon juice,0.5,
Kool-Aid Shot,Vodka,1.0,shot
Kool-Aid Shot,Amaretto,1.0,shot
Kool-Aid Shot,Sloe gin,1.0,shot
Kool-Aid Shot,Triple sec,1.0,shot
Kool-Aid Shot,Cranberry juice,nan,N/A
Black &amp; Tan,Ale,1.0,
Black &amp; Tan,Guinness stout,1.0,
Tipperary,Irish Whiskey,2.0,oz
Tipperary,Sweet Vermouth,1.0,oz
Tipperary,Green Chartreuse,0.5,oz
Grim Reaper,Kahlua,1.0,oz
Grim Reaper,151 proof rum,1.0,oz
Grim Reaper,Grenadine,1.0,dash
Chocolate Black Russian,Kahlua,1.0,oz
Chocolate Black Russian,Vodka,0.5,oz
Chocolate Black Russian,Chocolate ice-cream,5.0,oz
Godmother,Vodka,5.5,oz
Godmother,Amaretto,0.75,oz
Mulled Wine,Water,3.0,cups
Mulled Wine,Sugar,1.0,cup
Mulled Wine,Cloves,12.0,
Mulled Wine,Cinnamon,2.0,
Mulled Wine,Lemon peel,1.0,
Mulled Wine,Red wine,750.0,
Mulled Wine,Brandy,0.25,cup
Vampiro,Tequila,6.0,
Vampiro,Tomato Juice,3.0,
Vampiro,Orange Juice,3.0,
Vampiro,Lime Juice,1.5,
Vampiro,Sugar Syrup,1.0,dash
Vampiro,Salt,1.0,pinch
Gin Sour,Gin,2.0,oz
Gin Sour,Lemon juice,1.0,oz
Gin Sour,Sugar,0.5,
Gin Sour,Orange,1.0,
Gin Sour,Maraschino cherry,1.0,
B-53,Kahlua,0.3333333333333333,shot
B-53,Sambuca,0.3333333333333333,shot
B-53,Grand Marnier,0.3333333333333333,shot
Apple Pie with A Crust,Apple juice,3.0,
Apple Pie with A Crust,Malibu rum,1.0,
Apple Pie with A Crust,Cinnamon,3.0,dashes
Port Wine Flip,Port,5.5,oz
Port Wine Flip,Light cream,2.0,
Port Wine Flip,Powdered sugar,1.0,
Port Wine Flip,Egg,1.0,
Port Wine Flip,Nutmeg,nan,N/A
Bruce's Puce,Grenadine,N/A,N/A
Bruce's Puce,Bailey's irish cream,nan,N/A
Stone Sour,Apricot brandy,1.0,oz
Stone Sour,Orange juice,1.0,oz
Stone Sour,Sweet and sour,1.0,oz
155 Belmont,Dark rum,1.0,shot
155 Belmont,Light rum,2.0,shots
155 Belmont,Vodka,1.0,shot
155 Belmont,Orange juice,1.0,shot
Zizi Coin-coin,Cointreau,5.0,
Zizi Coin-coin,Lemon juice,2.0,
Zizi Coin-coin,Ice,N/A,N/A
Zizi Coin-coin,Lemon,N/A,N/A
Sherry Flip,Sherry,5.5,oz
Sherry Flip,Light cream,2.0,
Sherry Flip,Powdered sugar,1.0,
Sherry Flip,Egg,1.0,
Sherry Flip,Nutmeg,nan,N/A
Snakebite and Black,Lager,0.5,pint
Snakebite and Black,Cider,0.5,pint
Snakebite and Black,Blackcurrant squash,N/A,N/A
Apricot Lady,Light rum,5.5,oz
Apricot Lady,Apricot brandy,1.0,oz
Apricot Lady,Triple sec,1.0,
Apricot Lady,Lemon juice,0.5,oz
Apricot Lady,Egg white,1.0,
Apricot Lady,Orange,1.0,
Barracuda,Rum,4.5,
Barracuda,Galliano,1.5,
Barracuda,Pineapple Juice,6.0,
Barracuda,Lime Juice,1.0,dash
Barracuda,Prosecco,N/A,N/A
Royal Flush,Crown Royal,5.5,oz
Royal Flush,Peach schnapps,1.0,oz
Royal Flush,Chambord raspberry liqueur,0.5,oz
Royal Flush,Cranberry juice,1.0,oz
Sweet Sangria,Red wine,2.0,bottles
Sweet Sangria,Sugar,1.0,cup
Sweet Sangria,Water,2.0,cups
Sweet Sangria,Apple,1.0,cup
Sweet Sangria,Orange,N/A,N/A
Sweet Sangria,Lime,N/A,N/A
Sweet Sangria,Lemon,N/A,N/A
Frozen Pineapple Daiquiri,Light rum,5.5,oz
Frozen Pineapple Daiquiri,Pineapple,4.0,
Frozen Pineapple Daiquiri,Lime juice,1.0,
Frozen Pineapple Daiquiri,Sugar,0.5,
Drinking Chocolate,Heavy cream,2.0,oz
Drinking Chocolate,Milk,6.0,-8 oz
Drinking Chocolate,Cinnamon,1.0,
Drinking Chocolate,Vanilla,1.0,
Drinking Chocolate,Chocolate,2.0,oz
Drinking Chocolate,Whipped cream,N/A,N/A
Almeria,Dark rum,2.0,oz
Almeria,Kahlua,1.0,oz
Almeria,Egg white,1.0,
Butter Baby,Vanilla Ice-Cream,2.0,
Butter Baby,Butterscotch schnapps,1.0,
Butter Baby,Milk,N/A,N/A
Butter Baby,Vodka,2.0,
Adios Amigos Cocktail,Rum,1.0,shot
Adios Amigos Cocktail,Dry Vermouth,0.5,shot
Adios Amigos Cocktail,Cognac,0.5,shot
Adios Amigos Cocktail,Gin,0.5,shot
Adios Amigos Cocktail,Fresh Lime Juice,0.25,shot
Adios Amigos Cocktail,Sugar Syrup,0.25,shot
Adios Amigos Cocktail,Water,0.5,shot
Waikiki Beachcomber,Triple sec,0.75,oz
Waikiki Beachcomber,Gin,0.75,oz
Waikiki Beachcomber,Pineapple juice,1.0,
Scooter,Brandy,1.0,oz
Scooter,Amaretto,1.0,oz
Scooter,Light cream,1.0,oz
Lady Love Fizz,Gin,2.0,oz
Lady Love Fizz,Light cream,2.0,
Lady Love Fizz,Powdered sugar,1.0,
Lady Love Fizz,Lemon,0.5,
Lady Love Fizz,Egg white,1.0,
Lady Love Fizz,Carbonated water,nan,N/A
Hot Creamy Bush,Irish whiskey,1.0,shot
Hot Creamy Bush,Bailey's irish cream,0.75,shot
Hot Creamy Bush,Coffee,6.0,oz
Salty Dog,Grapefruit juice,5.0,oz
Salty Dog,Gin,5.5,oz
Salty Dog,Salt,0.25,
Bahama Mama,Rum,3.0,
Bahama Mama,Dark Rum,1.0,
Bahama Mama,Banana liqueur,1.0,
Bahama Mama,Grenadine,1.0,
Bahama Mama,Pineapple Juice,2.0,
Bahama Mama,Orange Juice,2.0,
Bahama Mama,Sweet and Sour,1.0,
Jamaican Coffee,Rum,0.16666666666666666,glass
Jamaican Coffee,Coffee,0.16666666666666666,glass
Jamaican Coffee,Water,0.5,glass
Jamaican Coffee,Whipped cream,nan,N/A
Sidecar Cocktail,Brandy,1.0,oz
Sidecar Cocktail,Triple sec,0.5,oz
Sidecar Cocktail,Lemon,0.25,
Bourbon Sour,Bourbon,2.0,oz
Bourbon Sour,Lemon juice,1.0,oz
Bourbon Sour,Sugar,0.5,
Bourbon Sour,Orange,1.0,
Bourbon Sour,Maraschino cherry,1.0,
Lone Tree Cooler,Carbonated water,N/A,N/A
Lone Tree Cooler,Dry Vermouth,N/A,N/A
Lone Tree Cooler,Orange spiral,N/A,N/A
Absolutly Screwed Up,Absolut Citron,1.0,shot
Absolutly Screwed Up,Orange juice,1.0,shot
Absolutly Screwed Up,Triple sec,1.0,shot
Absolutly Screwed Up,Ginger ale,N/A,N/A
Oreo Mudslide,Vodka,1.0,oz
Oreo Mudslide,Kahlua,1.0,oz
Oreo Mudslide,Bailey's irish cream,1.0,oz
Oreo Mudslide,Vanilla ice-cream,2.0,
Oreo Mudslide,Oreo cookie,1.0,
Arctic Mouthwash,Maui,5.0,oz
Arctic Mouthwash,Mountain Dew,5.0,oz
Arctic Mouthwash,Ice,N/A,N/A
Amaretto Sunrise,Amaretto,1.0,
Amaretto Sunrise,Orange juice,4.0,oz
Amaretto Sunrise,Grenadine,0.25,
New York Lemonade,Absolut Citron,2.0,oz
New York Lemonade,Grand Marnier,1.0,oz
New York Lemonade,Lemon juice,2.0,oz
New York Lemonade,Club soda,1.0,oz
Amaretto Sunset,Triple sec,0.5,jigger
Amaretto Sunset,Amaretto,3.0,shots
Amaretto Sunset,Cider,0.5,cup
Amaretto Sunset,Ice,0.5,cup
Absinthe #2,Vodka,1.0,bottle
Absinthe #2,Sugar,50.0,
Absinthe #2,Anise,50.0,
Absinthe #2,Licorice root,1.0,
Absinthe #2,Wormwood,1.0,
Coffee Liqueur,Coffee,10.0,
Coffee Liqueur,Vanilla extract,4.0,
Coffee Liqueur,Sugar,10.5,cups
Coffee Liqueur,Vodka,1.0,
Coffee Liqueur,Water,10.5,cups
Bermuda Highball,Brandy,0.75,oz
Bermuda Highball,Gin,0.75,oz
Bermuda Highball,Dry Vermouth,0.75,oz
Bermuda Highball,Carbonated water,N/A,N/A
Tequila Fizz,Tequila,2.0,oz
Tequila Fizz,Lemon juice,1.0,
Tequila Fizz,Grenadine,0.75,oz
Tequila Fizz,Egg white,1.0,
Tequila Fizz,Ginger ale,nan,N/A
Gin Cooler,Gin,2.0,oz
Gin Cooler,Carbonated water,N/A,N/A
Gin Cooler,Orange spiral,N/A,N/A
Nutty Irishman,Bailey's irish cream,1.0,
Nutty Irishman,Frangelico,1.0,
Nutty Irishman,Milk,1.0,
747,Kahlua,0.3333333333333333,
747,Bailey's irish cream,0.3333333333333333,
747,Frangelico,0.3333333333333333,
Bacardi Cocktail,Light rum,3.25,oz
Bacardi Cocktail,Lime juice,1.0,oz
Bacardi Cocktail,Sugar syrup,0.5,
Bacardi Cocktail,Grenadine,1.0,dash
Autodafé,Vodka,4.0,
Autodafé,Lime juice,1.0,dash
Autodafé,Soda water,nan,N/A
Oatmeal Cookie,Kahlua,2.0,
Oatmeal Cookie,Bailey,2.0,
Oatmeal Cookie,Butterscotch schnapps,4.0,
Oatmeal Cookie,Jagermeister,1.0,
Oatmeal Cookie,Goldschlager,0.5,
Angelica Liqueur,Angelica root,3.0,
Angelica Liqueur,Almond,1.0,
Angelica Liqueur,Allspice,1.0,
Angelica Liqueur,Cinnamon,1.0,one-inch
Angelica Liqueur,Anise,3.0,
Angelica Liqueur,Coriander,0.125,
Angelica Liqueur,Marjoram leaves,1.0,
Angelica Liqueur,Vodka,1.5,cup
Angelica Liqueur,Sugar,0.5,cup
Angelica Liqueur,Water,0.25,cup
Angelica Liqueur,Food coloring,1.0,
Angelica Liqueur,Food coloring,1.0,
Sherry Eggnog,Sherry,2.0,oz
Sherry Eggnog,Powdered sugar,1.0,
Sherry Eggnog,Egg,1.0,
Sherry Eggnog,Milk,N/A,N/A
Rum Screwdriver,Light rum,5.5,oz
Rum Screwdriver,Orange juice,5.0,oz
Lemon Drop,Absolut Vodka,5.5,shot
Lemon Drop,Cointreau,5.5,shot
Lemon Drop,Lemon,1.0,
Bellini,Champagne,6.0,oz
Bellini,Peach schnapps,1.0,oz
Lassi - Sweet,Yoghurt,1.0,cup
Lassi - Sweet,Water,2.0,cups
Lassi - Sweet,Sugar,4.0,
Lassi - Sweet,Salt,N/A,N/A
Lassi - Sweet,Lemon juice,2.0,
Jewel Of The Nile,Gin,5.5,oz
Jewel Of The Nile,Green Chartreuse,0.5,oz
Jewel Of The Nile,Yellow Chartreuse,0.5,oz
Sidecar,Cognac,2.0,oz
Sidecar,Cointreau,0.5,oz
Sidecar,Lemon juice,1.0,oz
Affinity,Scotch,5.5,oz
Affinity,Sweet Vermouth,1.0,oz
Affinity,Dry Vermouth,1.0,oz
Affinity,Orange bitters,2.0,dashes
Boxcar,Gin,5.5,oz
Boxcar,Triple sec,1.0,oz
Boxcar,Lemon juice,1.0,
Boxcar,Grenadine,0.5,
Boxcar,Egg white,1.0,
Cosmopolitan Martini,Cointreau,0.5,oz
Cosmopolitan Martini,Vodka,1.0,oz
Cosmopolitan Martini,Lime,0.5,
Cosmopolitan Martini,Cranberry juice,1.0,
Jam Donut,Baileys irish cream,0.6666666666666666,oz
Jam Donut,Chambord raspberry liqueur,0.3333333333333333,oz
Jam Donut,Sugar syrup,1.0,
Jam Donut,Sugar,2.0,pinches
252,151 proof rum,0.5,shot
252,Wild Turkey,0.5,shot
Rum Milk Punch,Light rum,2.0,oz
Rum Milk Punch,Milk,1.0,cup
Rum Milk Punch,Powdered sugar,1.0,
Rum Milk Punch,Nutmeg,nan,N/A
Berry Deadly,Everclear,2.0,pint
Berry Deadly,Wine,1.0,bottle
Berry Deadly,Orange juice,0.5,
Berry Deadly,Kool-Aid,1.0,
Castillian Hot Chocolate,Cocoa powder,0.5,cup
Castillian Hot Chocolate,Sugar,1.0,cup
Castillian Hot Chocolate,Cornstarch,7.0,
Castillian Hot Chocolate,Water,0.5,cup
Castillian Hot Chocolate,Milk,1.0,
Brandy Flip,Brandy,2.0,oz
Brandy Flip,Egg,1.0,
Brandy Flip,Sugar,1.0,
Brandy Flip,Light cream,0.5,oz
Brandy Flip,Nutmeg,0.125,
Girl From Ipanema,Cachaca,25.0,
Girl From Ipanema,Lemon Juice,15.0,
Girl From Ipanema,Agave Syrup,10.0,
Girl From Ipanema,Champagne,N/A,N/A
Vodka Russian,Vodka,2.0,oz
Vodka Russian,Schweppes Russchian,nan,N/A
Holloween Punch,Grape juice,N/A,N/A
Holloween Punch,", orange
",N/A,N/A
Holloween Punch,Sherbet,nan,N/A
Kool-Aid Slammer,Kool-Aid,0.5,oz
Kool-Aid Slammer,Vodka,0.5,oz
Apricot punch,Apricot brandy,1.0,
Apricot punch,Champagne,4.0,
Apricot punch,Vodka,1.0,
Apricot punch,7-Up,4.0,
Apricot punch,Orange juice,0.5,
Absolutely Fabulous,Vodka,1.0,shot
Absolutely Fabulous,Cranberry Juice,2.0,shots
Absolutely Fabulous,Champagne,N/A,N/A
Iced Coffee Fillip,Kahlua,2.0,
Iced Coffee Fillip,Coffee,N/A,N/A
Dark and Stormy,Dark Rum,5.0,
Dark and Stormy,Ginger Beer,10.0,
ACID,151 proof rum,1.0,oz
ACID,Wild Turkey,1.0,oz
Sex on the Beach,Vodka,1.0,oz
Sex on the Beach,Peach schnapps,0.75,oz
Sex on the Beach,Cranberry juice,N/A,N/A
A Night In Old Mandalay,Light rum,1.0,oz
A Night In Old Mandalay,Añejo rum,1.0,oz
A Night In Old Mandalay,Orange juice,1.0,oz
A Night In Old Mandalay,Lemon juice,0.5,oz
A Night In Old Mandalay,Ginger ale,3.0,oz
A Night In Old Mandalay,Lemon peel,1.0,
Lord And Lady,Dark rum,5.5,oz
Lord And Lady,Tia maria,0.5,oz
Absolut Stress #2,Absolut Vodka,5.5,oz
Absolut Stress #2,Peach schnapps,0.5,oz
Absolut Stress #2,Coconut liqueur,0.5,oz
Absolut Stress #2,Cranberry juice,5.5,oz
Absolut Stress #2,Pineapple juice,5.5,oz
Porto flip,Brandy,3.0,
